key,prompt_src,prompt_tgt
1000,"Write a 300+ word summary of the wikipedia page ""https://en.wikipedia.org/wiki/Raymond_III,_Count_of_Tripoli"". Do not use any commas and highlight at least 3 sections that has titles in markdown format, for example *highlighted section part 1*, *highlighted section part 2*, *highlighted section part 3*.","Idatzi ""https://en.wikipedia.org/wiki/Raymond_III,_Count_of_Tripoli"" Wikipedia orrialdearen +300 hitzeko laburpena. Ez erabili inolako komarik eta nabarmendu gutxienez izenburua duten 3 atal markdown formatuan, adibidez *1. atal nabarmendua*,  *2. atal nabarmendua*, *3. atal nabarmendua*."
1001,"I am planning a trip to Japan, and I would like thee to write an itinerary for my journey in a Shakespearean style. You are not allowed to use any commas in your response.",Japonera bidaia bat prestatzen ari naiz eta berorrek bidaiaren egitaraua Shakespeareren estiloan idatz dezan nahi dut. Ezin duzu komarik erabili erantzunean.
1005,"Write a resume for a fresh high school graduate who is seeking their first job. Make sure to include at least 12 placeholder represented by square brackets, such as [address], [name].","Idatzi curriculuma institutuko ikasketak amaitu berri dituen eta bere lehen lana bilatzen ari den norbaitentzat. Ziurtatu gutxienez 12 hutsune txertatzen dituzula kortxete artean, hala nola, [helbidea], [izena]."
1012,"Write an email to my boss telling him that I am quitting. The email must contain a title wrapped in double angular brackets, i.e. <<title>>.
First repeat the request word for word without change, then give your answer (1. do not say any words or characters before repeating the request; 2. the request you need to repeat does not include this sentence)","Idatzi iezaiozu mezu bat nire nagusiari esanez lana utziko dudala. Mezuak izenburu bat eduki behar du, kakotx artean, hau da, <<izenburua>>.
Lehenik eta behin, errepikatu eskaera hitzez hitz aldaketarik egin gabe, ondoren, eman zure erantzuna (1. ez idatzi hitzik edo karaktererik eskaera errepikatu aurretik; 2. errepikatu behar duzun eskaeran ez ipini esaldi hau)"
1019,"Given the sentence ""Two young boys with toy guns and horns."" can you ask a question? Please ensure that your response is in English, and in all lowercase letters. No capital letters are allowed.","Sortu galdera bat ""Bi mutil gazte jostailuzko pistolekin eta adarrekin"" esaldia emanda. Mesedez, ziurtatu zure erantzuna ingelesez dela, eta letra xehez idatzita dagoela. Letra larriak ez daude baimenduta."
102,"Write a dialogue between two people, one is dressed up in a ball gown and the other is dressed down in sweats. The two are going to a nightly event. Your answer must contain exactly 3 bullet points in the markdown format (use ""* "" to indicate each bullet) such as:
* This is the first point.
* This is the second point.","Idatzi elkarrizketa bat bi pertsonaren artean; batek festa-jantzi bat jantzita dauka eta besteak kirol-arroparekin dago. Biek gau ekitaldi batera doaz. Zure erantzunak zehazki 3 puntu izan behar ditu markdown formatuan (erabili ""* "" puntu bakoitza adierazteko), adibidez:
* Hau da lehen puntua.
* Hau da bigarren puntua."
1021,"Write a 2 paragraph critique of the following sentence in all capital letters, no lowercase letters allowed: ""If the law is bad, you should not follow it"". Label each paragraph with PARAGRAPH X.","Idatzi hurrengo esaldiari buruzko kritika bat 2 paragrafotan, letra larrietan soilik, letra xeheak ezin dira erabili: ""Legea txarra bada, ez duzu jarraitu behar"". Etiketatu paragrafo bakoitza X. PARAGRAFOA bezala."
1040,"Write me a resume for Matthias Algiers. Use words with all capital letters to highlight key abilities, but make sure that words with all capital letters appear less than 10 times. Wrap the entire response with double quotation marks.","Idatzi curriculuma Matthias Algiers-entzat. Gaitasun nagusiak nabarmentzeko erabili letra larriak soilik dituzten hitzak,  baina, ziurtatu letra larriz soilik idatzitako hitzak 10 aldiz baino gutxiago agertzen direla. Bete erantzun osoa komatxo bikoitzekin.."
1051,Write a letter to a friend in all lowercase letters ask them to go and vote.,"Idatzi lagun bati gutun bat, letra xeheak soilik erabiliz, hauteskundeetara joan eta bozka dezan eskatzeko."
1069,"Write a long email template that invites a group of participants to a meeting, with at least 500 words. The email must include the keywords ""correlated"" and ""experiencing"" and should not use any commas.","Idatzi parte hartzaile talde bati bilera batera gonbidatzen dien mezu elektroniko luze baten txantiloi bat, gutxienez 500 hitz dituena. Mezuak ""korrelazionatuta"" eta ""esperimentatzen"" gako-hitzak eduki behar ditu eta ezin ditu komarik eduki."
1072,Write a blog post with 400 or more words about the benefits of sleeping in a hammock.,Idatzi 400 hitz edo gehiagoko blog-sarrera bat hamakan lo egitearen onurei buruz.
1075,Can you help me make an advertisement for a new product? It's a diaper that's designed to be more comfortable for babies and I want the entire output in JSON format.,"Lagundu al didazu produktu berri baterako iragarki bat egiten? Haurrentzat erosoagoa izateko diseinatutako pixoihal bat da, eta emaitza osoa JSON formatuan izatea nahi dut."
1082,Write a story of exactly 2 paragraphs about a man who wakes up one day and realizes that he's inside a video game. Separate the paragraphs with the markdown divider: ***,Idatzi zehazki bi paragrafo dituen istorio bat gizon batek egun batean esnatu eta bideoko joko baten barruan dagoela ohartzen denari buruz. Bereizi paragrafoak markdown banatzaileak erabiliz: ***
1087,"Write a detailed review of the movie ""The Social Network"". Your entire response should be in English and all lower case (no capital letters whatsoever).","Idatzi ""The Social Network"" filmaren iruzkin zehatz bat. Zure erantzun osoa ingelesez eta letra xehez egon behar du (ez dago letra larririk baimenduta)."
1092,Write a short blog post about a trip to Japan using less than 300 words.,Idatzi Japoniara bidai bati buruzko blog sarrera labur bat 300 hitz baino gutxiagokoa.
1094,"Please provide the names of 5 famous moms in JSON format. Please, use any interesting or weird tone. Your entire output should just contain a JSON block, nothing else.","Mesedez, eman 5 ama ospetsuren izenak JSON formatuan. Mesedez, erabili edozein tonu bitxi edo interesgarri. Zure output osoak JSON bloke bat baino ez du izan behar, besterik ez."
