key,prompt_src,prompt_tgt
1000,"Write a 300+ word summary of the wikipedia page ""https://en.wikipedia.org/wiki/Raymond_III,_Count_of_Tripoli"". Do not use any commas and highlight at least 3 sections that has titles in markdown format, for example *highlighted section part 1*, *highlighted section part 2*, *highlighted section part 3*.","Fai un resumo de máis de 300 palabras sobre a páxina de Wikipedia ""https://en.wikipedia.org/wiki/Raymond_III,_Count_of_Tripoli"". Non uses ningunha coma e destaca polo menos 3 seccións que teñan títulos en formato markdown, por exemplo *sección destacada parte 1*, *sección destacada parte 2*, *sección destacada parte 3*."
1001,"I am planning a trip to Japan, and I would like thee to write an itinerary for my journey in a Shakespearean style. You are not allowed to use any commas in your response.",Estou a planificar unha viaxe ao Xapón e gustaríame que escribises un itinerario para a miña viaxe ao estilo de Shakespeare. Non podes usar ningunha coma na túa resposta.
1005,"Write a resume for a fresh high school graduate who is seeking their first job. Make sure to include at least 12 placeholder represented by square brackets, such as [address], [name].","Escribe un currículo para un recén graduado en secundaria que busca o seu primeiro traballo. Asegúrate de incluír polo menos 12 marcadores representados por corchetes, como [enderezo], [nome]."
1012,"Write an email to my boss telling him that I am quitting. The email must contain a title wrapped in double angular brackets, i.e. <<title>>.
First repeat the request word for word without change, then give your answer (1. do not say any words or characters before repeating the request; 2. the request you need to repeat does not include this sentence)","Escribe un correo para o meu xefe dicíndolle que deixo o traballo. O correo debe conter un título marcado entre corchetes angulares dobres, é dicir, <<título>>. Primeiro repite a solicitude palabra a palabra sen cambios e, a continuación, responde (1. non digas ningunha palabra nin carácter antes de repetir a solicitude; 2. a solicitude que precisas repetir non inclúe esta frase)."
1019,"Given the sentence ""Two young boys with toy guns and horns."" can you ask a question? Please ensure that your response is in English, and in all lowercase letters. No capital letters are allowed.","Dada a frase ""Dous rapaces novos con pistolas de xoguete e cornos."" podes facer unha pregunta? Asegúrate de que a túa resposta estea en inglés e en letras minúsculas. Non se permiten letras maiúsculas."
102,"Write a dialogue between two people, one is dressed up in a ball gown and the other is dressed down in sweats. The two are going to a nightly event. Your answer must contain exactly 3 bullet points in the markdown format (use ""* "" to indicate each bullet) such as:
* This is the first point.
* This is the second point.","Escribe un diálogo entre dúas persoas, unha vestida con roupa de gala e a outra con roupa deportiva. As dúas van a un evento nocturno. A túa resposta debe conter exactamente 3 puntos en formato markdown (usa ""* "" para indicar cada punto) como:
* Este é o primeiro punto.
* Este é o segundo punto."
1021,"Write a 2 paragraph critique of the following sentence in all capital letters, no lowercase letters allowed: ""If the law is bad, you should not follow it"". Label each paragraph with PARAGRAPH X.","Escribe en maiúsculas unha critica de 2 parágrafos da seguinte frase, non se permiten minúsculas: ""Se a lei non é boa, non debes seguila"". Etiqueta cada parágrafo con PARÁGRAFO X."
1040,"Write me a resume for Matthias Algiers. Use words with all capital letters to highlight key abilities, but make sure that words with all capital letters appear less than 10 times. Wrap the entire response with double quotation marks.","Escríbeme un currículo para Matthias Algiers. Usa palabras en maiúscula para destacar as habilidades clave, pero asegúrate de que as palabras en maiúscula aparecen menos de 10 veces. Resalta a resposta completa entre aspas dobres."
1051,Write a letter to a friend in all lowercase letters ask them to go and vote.,Escríbelle unha carta a un amigo en letras minúsculas pedíndolle que vaia e vote.
1069,"Write a long email template that invites a group of participants to a meeting, with at least 500 words. The email must include the keywords ""correlated"" and ""experiencing"" and should not use any commas.","Escribe un modelo de correo longo que convide un grupo de participantes a unha reunión con, polo menos, 500 palabras. O correo debe incluír as palabras clave ""correlacionado"" e ""experimentando"" e non usar ningunha coma."
1072,Write a blog post with 400 or more words about the benefits of sleeping in a hammock.,Escribe unha entrada de blog de 400 palabras ou máis sobre os beneficios de durmir nunha hamaca.
